"X","cas_nakupu","produkt","cena","krajina","quartal","kategoria","kluc"
"256","Jan","Mlieko","3","SK","Q1","Jedlo","BA"
"257","Jan","Chlieb","2","SK","Q1","Jedlo","BA"
"258","Jan","Mlieko","3","SK","Q1","Jedlo","BA"
"259","Jan","Tricko","10","SK","Q1","Oblecenie","BA"
"260","Jan","Chlieb","2","SK","Q1","Jedlo","BA"
"261","Jan","Tricko","10","SK","Q1","Oblecenie","BA"
"262","Jan","Chlieb","2","SK","Q1","Jedlo","BA"
"263","Jan","Mlieko","3","SK","Q1","Jedlo","BA"
"264","Jan","Sveter","25","SK","Q1","Oblecenie","BA"
"265","Jan","Mlieko","3","SK","Q1","Jedlo","BA"
"266","Jan","Mlieko","3","SK","Q1","Jedlo","BA"
"267","Jan","Chlieb","2","SK","Q1","Jedlo","BA"
"268","Jan","Mlieko","3","SK","Q1","Jedlo","BA"
"269","Jan","Tricko","10","SK","Q1","Oblecenie","BA"
"270","Jan","Chlieb","2","SK","Q1","Jedlo","BA"
"271","Jan","Mlieko","3","SK","Q1","Jedlo","BA"
"272","Jan","Mlieko","3","SK","Q1","Jedlo","BA"
"273","Jan","Chlieb","2","SK","Q1","Jedlo","BA"
"274","Jan","Tricko","10","SK","Q1","Oblecenie","BA"
"275","Jan","Sveter","25","SK","Q1","Oblecenie","BA"
"276","Jan","Chlieb","2","SK","Q1","Jedlo","BA"
"277","Jan","Mobil","230","SK","Q1","Elektro","BA"
"278","Jan","Chlieb","2","SK","Q1","Jedlo","BA"
"279","Jan","Mlieko","3","SK","Q1","Jedlo","BA"
"280","Jan","Mlieko","3","SK","Q1","Jedlo","BA"
"281","Jan","Mobil","230","SK","Q1","Elektro","BA"
"282","Jan","Chlieb","2","SK","Q1","Jedlo","BA"
"283","Jan","Mlieko","3","SK","Q1","Jedlo","BA"
"284","Jan","Mlieko","3","SK","Q1","Jedlo","BA"
"285","Jan","Mlieko","3","SK","Q1","Jedlo","BA"
"286","Jan","Mlieko","3","SK","Q1","Jedlo","BA"
"287","Jan","Chlieb","2","SK","Q1","Jedlo","BA"
"288","Jan","Chlieb","2","SK","Q1","Jedlo","BA"
"289","Jan","Mlieko","3","SK","Q1","Jedlo","BA"
"290","Jan","Tricko","10","SK","Q1","Oblecenie","BA"
"291","Jan","Mlieko","3","SK","Q1","Jedlo","BA"
"292","Jan","Chlieb","2","SK","Q1","Jedlo","BA"
"293","Jan","Chlieb","2","SK","Q1","Jedlo","BA"
"294","Jan","Mlieko","3","SK","Q1","Jedlo","BA"
"295","Jan","Chlieb","2","SK","Q1","Jedlo","BA"
"296","Jan","Mlieko","3","SK","Q1","Jedlo","BA"
"297","Jan","Mlieko","3","SK","Q1","Jedlo","BA"
"298","Jan","Mlieko","3","SK","Q1","Jedlo","BA"
"299","Jan","Chlieb","2","SK","Q1","Jedlo","BA"
"300","Jan","Tricko","10","SK","Q1","Oblecenie","BA"
"301","Jan","Mlieko","3","SK","Q1","Jedlo","BA"
"302","Jan","Tricko","10","SK","Q1","Oblecenie","BA"
"303","Jan","Chlieb","2","SK","Q1","Jedlo","BA"
"304","Jan","Mlieko","3","SK","Q1","Jedlo","BA"
"305","Jan","Mlieko","3","SK","Q1","Jedlo","BA"
"306","Jan","Chlieb","2","SK","Q1","Jedlo","BA"
"307","Jan","Mlieko","3","SK","Q1","Jedlo","BA"
"308","Jan","Chlieb","2","SK","Q1","Jedlo","BA"
"309","Jan","Mlieko","3","SK","Q1","Jedlo","BA"
"310","Jan","Tricko","10","SK","Q1","Oblecenie","BA"
"311","Jan","Chlieb","2","SK","Q1","Jedlo","BA"
"312","Jan","Mlieko","3","SK","Q1","Jedlo","BA"
"313","Jan","Chlieb","2","SK","Q1","Jedlo","BA"
"314","Jan","Chlieb","2","SK","Q1","Jedlo","BA"
"315","Jan","Chlieb","2","SK","Q1","Jedlo","BA"
"316","Jan","Chlieb","2","SK","Q1","Jedlo","BA"
"317","Jan","Mlieko","3","SK","Q1","Jedlo","BA"
"318","Jan","Tricko","10","SK","Q1","Oblecenie","BA"
"319","Jan","Mlieko","3","SK","Q1","Jedlo","BA"
"320","Jan","Chlieb","2","SK","Q1","Jedlo","BA"
"321","Jan","Chlieb","2","SK","Q1","Jedlo","BA"
"322","Jan","Mlieko","3","SK","Q1","Jedlo","BA"
"323","Jan","Mlieko","3","SK","Q1","Jedlo","BA"
"324","Jan","Chlieb","2","SK","Q1","Jedlo","BA"
"325","Jan","Mlieko","3","SK","Q1","Jedlo","BA"
"326","Jan","Mlieko","3","SK","Q1","Jedlo","BA"
"327","Jan","Chlieb","2","SK","Q1","Jedlo","BA"
"328","Jan","Chlieb","2","SK","Q1","Jedlo","BA"
"329","Jan","Mlieko","3","SK","Q1","Jedlo","BA"
"330","Jan","Tricko","10","SK","Q1","Oblecenie","BA"
"331","Jan","Tricko","10","SK","Q1","Oblecenie","BA"
"332","Jan","Mlieko","3","SK","Q1","Jedlo","BA"
"333","Jan","Chlieb","2","SK","Q1","Jedlo","BA"
"334","Jan","Mlieko","3","SK","Q1","Jedlo","BA"
"335","Jan","Tricko","10","SK","Q1","Oblecenie","BA"
"336","Jan","Chlieb","2","SK","Q1","Jedlo","BA"
"337","Jan","Chlieb","2","SK","Q1","Jedlo","BA"
"338","Jan","Mlieko","3","SK","Q1","Jedlo","BA"
"339","Jan","Chlieb","2","SK","Q1","Jedlo","BA"
"340","Jan","Chlieb","2","SK","Q1","Jedlo","BA"
"341","Jan","Chlieb","2","SK","Q1","Jedlo","BA"
"342","Jan","Mlieko","3","SK","Q1","Jedlo","BA"
"343","Jan","Mlieko","3","SK","Q1","Jedlo","BA"
"344","Jan","Mlieko","3","SK","Q1","Jedlo","BA"
"345","Jan","Mlieko","3","SK","Q1","Jedlo","BA"
"346","Jan","Chlieb","2","SK","Q1","Jedlo","BA"
"347","Jan","Mlieko","3","SK","Q1","Jedlo","BA"
"348","Jan","Mlieko","3","SK","Q1","Jedlo","BA"
"349","Jan","Chlieb","2","SK","Q1","Jedlo","BA"
"350","Jan","Chlieb","2","SK","Q1","Jedlo","BA"
"351","Jan","Tricko","10","SK","Q1","Oblecenie","BA"
"352","Jan","Tricko","10","SK","Q1","Oblecenie","BA"
"353","Jan","Mlieko","3","SK","Q1","Jedlo","BA"
"354","Jan","Chlieb","2","SK","Q1","Jedlo","BA"
"355","Jan","Mlieko","3","SK","Q1","Jedlo","BA"
"356","Jan","Sveter","25","SK","Q1","Oblecenie","BA"
"357","Jan","Chlieb","2","SK","Q1","Jedlo","BA"
"358","Jan","Mlieko","3","SK","Q1","Jedlo","BA"
"359","Jan","Chlieb","2","SK","Q1","Jedlo","BA"
"360","Jan","Mlieko","3","SK","Q1","Jedlo","BA"
"361","Jan","Tablet","350","SK","Q1","Elektro","BA"
"362","Jan","Mlieko","3","SK","Q1","Jedlo","BA"
"363","Jan","Laptop","540","SK","Q1","Elektro","BA"
"364","Jan","Chlieb","2","SK","Q1","Jedlo","BA"
"365","Jan","Mlieko","3","SK","Q1","Jedlo","BA"
"366","Jan","Tricko","10","SK","Q1","Oblecenie","BA"
"367","Jan","Tricko","10","SK","Q1","Oblecenie","BA"
"368","Jan","Chlieb","2","SK","Q1","Jedlo","BA"
"369","Jan","Mlieko","3","SK","Q1","Jedlo","BA"
"370","Jan","Mlieko","3","SK","Q1","Jedlo","BA"
"371","Jan","Mlieko","3","SK","Q1","Jedlo","BA"
"372","Jan","Chlieb","2","SK","Q1","Jedlo","BA"
"373","Jan","Chlieb","2","SK","Q1","Jedlo","BA"
"374","Jan","Mobil","230","SK","Q1","Elektro","BA"
"375","Jan","Chlieb","2","SK","Q1","Jedlo","BA"
"376","Jan","Chlieb","2","SK","Q1","Jedlo","BA"
"377","Jan","Mlieko","3","SK","Q1","Jedlo","BA"
"378","Jan","Sveter","25","SK","Q1","Oblecenie","BA"
"379","Jan","Chlieb","2","SK","Q1","Jedlo","BA"
"380","Jan","Tricko","10","SK","Q1","Oblecenie","BA"
"381","Jan","Mlieko","3","SK","Q1","Jedlo","BA"
"382","Jan","Mlieko","3","SK","Q1","Jedlo","BA"
"383","Jan","Chlieb","2","SK","Q1","Jedlo","BA"
"384","Jan","Mlieko","3","SK","Q1","Jedlo","BA"
"385","Jan","Chlieb","2","SK","Q1","Jedlo","BA"
"386","Jan","Chlieb","2","SK","Q1","Jedlo","BA"
"387","Jan","Chlieb","2","SK","Q1","Jedlo","BA"
"388","Jan","Mlieko","3","SK","Q1","Jedlo","BA"
"389","Jan","Chlieb","2","SK","Q1","Jedlo","BA"
"390","Jan","Chlieb","2","SK","Q1","Jedlo","BA"
"391","Jan","Chlieb","2","SK","Q1","Jedlo","BA"
"392","Jan","Sveter","25","SK","Q1","Oblecenie","BA"
"393","Jan","Chlieb","2","SK","Q1","Jedlo","BA"
"394","Jan","Mlieko","3","SK","Q1","Jedlo","BA"
"395","Jan","Tricko","10","SK","Q1","Oblecenie","BA"
"396","Jan","Chlieb","2","SK","Q1","Jedlo","BA"
"397","Jan","Laptop","540","SK","Q1","Elektro","BA"
"398","Jan","Chlieb","2","SK","Q1","Jedlo","BA"
"399","Jan","Mlieko","3","SK","Q1","Jedlo","BA"
"400","Jan","Mlieko","3","SK","Q1","Jedlo","BA"
"401","Jan","Mlieko","3","SK","Q1","Jedlo","BA"
"402","Jan","Laptop","540","SK","Q1","Elektro","BA"
"403","Jan","Mlieko","3","SK","Q1","Jedlo","BA"
"404","Jan","Mlieko","3","SK","Q1","Jedlo","BA"
"405","Jan","Mlieko","3","SK","Q1","Jedlo","BA"
"406","Jan","Mlieko","3","SK","Q1","Jedlo","BA"
"407","Jan","Tricko","10","SK","Q1","Oblecenie","BA"
"408","Jan","Mlieko","3","SK","Q1","Jedlo","BA"
"409","Jan","Chlieb","2","SK","Q1","Jedlo","BA"
"410","Jan","Chlieb","2","SK","Q1","Jedlo","BA"
"411","Jan","Mlieko","3","SK","Q1","Jedlo","BA"
"412","Jan","Mlieko","3","SK","Q1","Jedlo","BA"
"413","Jan","Chlieb","2","SK","Q1","Jedlo","BA"
"414","Jan","Chlieb","2","SK","Q1","Jedlo","BA"
"415","Jan","Mlieko","3","SK","Q1","Jedlo","BA"
"416","Jan","Chlieb","2","SK","Q1","Jedlo","BA"
"417","Jan","Mlieko","3","SK","Q1","Jedlo","BA"
"418","Jan","Tricko","10","SK","Q1","Oblecenie","BA"
"419","Jan","Mlieko","3","SK","Q1","Jedlo","BA"
"420","Jan","Chlieb","2","SK","Q1","Jedlo","BA"
"421","Jan","Chlieb","2","SK","Q1","Jedlo","BA"
"422","Jan","Sveter","25","SK","Q1","Oblecenie","BA"
"423","Jan","Mlieko","3","SK","Q1","Jedlo","BA"
"424","Jan","Sveter","25","SK","Q1","Oblecenie","BA"
"425","Jan","Mlieko","3","SK","Q1","Jedlo","BA"
"426","Jan","Chlieb","2","SK","Q1","Jedlo","BA"
"427","Jan","Mlieko","3","SK","Q1","Jedlo","BA"
"428","Jan","Chlieb","2","SK","Q1","Jedlo","BA"
"429","Jan","Chlieb","2","SK","Q1","Jedlo","BA"
"430","Jan","Chlieb","2","SK","Q1","Jedlo","BA"
"431","Jan","Mlieko","3","SK","Q1","Jedlo","BA"
"432","Jan","Sveter","25","SK","Q1","Oblecenie","BA"
"433","Jan","Mlieko","3","SK","Q1","Jedlo","BA"
"434","Jan","Mlieko","3","SK","Q1","Jedlo","BA"
"435","Jan","Mlieko","3","SK","Q1","Jedlo","BA"
"436","Jan","Mobil","230","SK","Q1","Elektro","BA"
